Day	Date	Measured Value
1	15/01/2020	10.1
2	16/01/2020	9.8
3	17/01/2020	9.5
4	18/01/2020	9.17
5	19/01/2020	8.9
6	20/01/2020	8.67
7	21/01/2020	8.4
8	22/01/2020	8.53
9	23/01/2020	8.47
10	24/01/2020	8.2
11	25/01/2020	7.9
12	26/01/2020	7.47
13	27/01/2020	6.93
14	28/01/2020	6.63
15	29/01/2020	6.33
16	30/01/2020	6.03
17	31/01/2020	5.8
18	01/02/2020	5.67
19	02/02/2020	5.63
20	03/02/2020	5.43
21	04/02/2020	5.27
22	05/02/2020	5.13
23	06/02/2020	4.97
24	07/02/2020	4.8
25	08/02/2020	4.83
26	09/02/2020	4.73
27	10/02/2020	4.6
28	11/02/2020	4.53
29	12/02/2020	4.43
30	13/02/2020	4.43
31	14/02/2020	4.77
32	15/02/2020	4.9
33	16/02/2020	4.8
34	17/02/2020	5.27
35	18/02/2020	5.37
36	19/02/2020	5.27
37	20/02/2020	5.17
38	21/02/2020	5.13
39	22/02/2020	5.13
40	23/02/2020	5.07
41	24/02/2020	5.1
42	25/02/2020	5
43	26/02/2020	5
44	27/02/2020	5.17
45	28/02/2020	5.53
46	29/02/2020	7.3
47	01/03/2020	8.87
48	02/03/2020	8.53
49	03/03/2020	8.27
50	04/03/2020	7.97
51	05/03/2020	7.6
52	06/03/2020	7.33
53	07/03/2020	7.03
54	08/03/2020	6.8
55	09/03/2020	6.63
56	10/03/2020	6.47
57	11/03/2020	6.37
58	12/03/2020	6.4
59	13/03/2020	6.47
60	14/03/2020	6.47
61	15/03/2020	6.4
62	16/03/2020	6.33
63	17/03/2020	6.23
64	18/03/2020	6.1
65	19/03/2020	5.93
66	20/03/2020	5.77
67	21/03/2020	5.77
68	22/03/2020	5.67
69	23/03/2020	5.67
70	24/03/2020	5.67
71	25/03/2020	5.57
72	26/03/2020	5.57
73	27/03/2020	5.6
74	28/03/2020	5.47
75	29/03/2020	5.43
76	30/03/2020	5.43
77	31/03/2020	5.27
78	01/04/2020	5.13
79	02/04/2020	5.07
80	03/04/2020	5.07
81	04/04/2020	5.03
82	05/04/2020	5
83	06/04/2020	4.97
84	07/04/2020	4.97
85	08/04/2020	4.93
86	09/04/2020	4.93
87	10/04/2020	5
88	11/04/2020	4.97
89	12/04/2020	4.93
90	13/04/2020	4.87
91	14/04/2020	4.87
92	15/04/2020	4.87
93	16/04/2020	4.83
94	17/04/2020	4.77
95	18/04/2020	4.87
96	19/04/2020	4.87
97	20/04/2020	4.87
98	21/04/2020	4.87
99	22/04/2020	4.83
100	23/04/2020	4.8
101	24/04/2020	4.73
102	25/04/2020	4.63
103	26/04/2020	4.63
104	27/04/2020	4.6
105	28/04/2020	4.57
106	29/04/2020	4.57
107	30/04/2020	4.57
108	01/05/2020	4.53
109	02/05/2020	4.5
110	03/05/2020	4.5
111	04/05/2020	4.47
112	05/05/2020	4.47
113	06/05/2020	4.47
114	07/05/2020	4.43
115	08/05/2020	4.4
116	09/05/2020	4.37
117	10/05/2020	4.37
118	11/05/2020	7
119	12/05/2020	9.8
120	13/05/2020	9.6
121	14/05/2020	9.4
122	15/05/2020	9.27
123	16/05/2020	9.1
124	17/05/2020	5.93
125	18/05/2020	18.77
126	19/05/2020	18.77
127	20/05/2020	19.7
128	21/05/2020	22.73
129	22/05/2020	22.73
130	23/05/2020	22.27
131	24/05/2020	22.03
132	25/05/2020	21.53
133	26/05/2020	21.13
134	27/05/2020	20.73
135	28/05/2020	20.57
136	29/05/2020	20.23
137	30/05/2020	20.17
138	31/05/2020	20.03
139	01/06/2020	19.87
140	02/06/2020	19.67
141	03/06/2020	19.63
142	04/06/2020	19.53
143	05/06/2020	19.5
144	06/06/2020	19.37
145	07/06/2020	19.33
146	08/06/2020	19.27
147	09/06/2020	19.2
148	10/06/2020	19.07
149	11/06/2020	19.13
150	12/06/2020	19.17
151	13/06/2020	19.1
152	14/06/2020	18.97
153	15/06/2020	18.93
154	16/06/2020	19
155	17/06/2020	21.47
156	18/06/2020	25.4
157	19/06/2020	25.83
158	20/06/2020	27.47
159	21/06/2020	26.93
160	22/06/2020	26.73
161	23/06/2020	26.4
162	24/06/2020	27.4
163	25/06/2020	27.63
164	26/06/2020	27.5
165	27/06/2020	27.23
166	28/06/2020	27.27
167	29/06/2020	27.17
168	30/06/2020	27.83
169	01/07/2020	28.8
170	02/07/2020	28.13
171	03/07/2020	28.23
172	04/07/2020	28.07
173	05/07/2020	27.73
174	06/07/2020	27.97
175	07/07/2020	27.97
176	08/07/2020	28.9
177	09/07/2020	28.57
178	10/07/2020	28.1
179	11/07/2020	28.73
180	12/07/2020	28.57
181	13/07/2020	28.37
182	14/07/2020	28.43
183	15/07/2020	28.23
184	16/07/2020	28.07
185	17/07/2020	27.9
186	18/07/2020	27.83
187	19/07/2020	27.7
188	20/07/2020	27.73
189	21/07/2020	27.67
190	22/07/2020	27.57
191	23/07/2020	27.5
192	24/07/2020	27.43
193	25/07/2020	27.37
194	26/07/2020	27.5
195	27/07/2020	27.83
196	28/07/2020	28
197	29/07/2020	28.4
198	30/07/2020	28.37
199	31/07/2020	28.2
200	01/08/2020	28.1
201	02/08/2020	28
202	03/08/2020	27.93
203	04/08/2020	27.93
204	05/08/2020	27.83
205	06/08/2020	27.57
206	07/08/2020	27.73
207	08/08/2020	27.7
208	09/08/2020	27.73
209	10/08/2020	28.13
210	11/08/2020	28.6
211	12/08/2020	28.4
212	13/08/2020	28.63
213	14/08/2020	28.43
214	15/08/2020	28.3
215	16/08/2020	28.27
216	17/08/2020	28.17
217	18/08/2020	28.13
218	19/08/2020	28.07
219	20/08/2020	28
220	21/08/2020	28.8
221	22/08/2020	28.63
222	23/08/2020	28.43
223	24/08/2020	28.13
224	25/08/2020	28.13
